Time(s),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000,0.098000,-0.035000,0.028000,-0.033000,0.000000,-0.019000,0.032000,-0.097000,-0.215000,-0.065000,-0.020000,-0.092000,0.000000,-0.076000
0.000,0.000000,-0.035000,-0.034000,-0.033000,-0.033000,-0.019000,0.065000,0.315000,-0.130000,-0.118000,0.065000,-0.061000,0.102000,-0.107000
0.081,0.033000,0.034000,-0.034000,0.033000,-0.033000,-0.019000,0.032000,-0.097000,-0.163000,-0.150000,0.012000,-0.061000,-0.031000,-0.031000
0.139,0.000000,-0.067000,-0.034000,-0.033000,-0.033000,0.097000,0.032000,0.033000,-0.183000,-0.032000,-0.020000,0.000000,-0.031000,-0.044000
0.188,0.066000,-0.067000,-0.034000,0.000000,0.000000,-0.019000,0.000000,0.000000,-0.215000,-0.065000,-0.020000,-0.092000,0.000000,-0.063000
0.252,0.033000,-0.035000,-0.034000,-0.033000,0.098000,0.323000,0.097000,-0.065000,-0.130000,-0.118000,0.098000,-0.092000,0.000000,-0.107000
0.316,0.033000,0.000000,-0.067000,0.133000,-0.033000,-0.019000,0.065000,-0.065000,-0.183000,-0.097000,-0.020000,-0.092000,0.000000,-0.076000
0.373,0.033000,-0.067000,-0.034000,0.100000,-0.033000,0.097000,0.032000,0.033000,-0.183000,-0.032000,-0.020000,-0.061000,-0.031000,-0.076000
0.425,0.033000,-0.035000,-0.034000,0.000000,-0.033000,0.013000,0.000000,-0.065000,-0.183000,-0.118000,-0.020000,0.000000,-0.031000,0.000000
0.507,0.000000,-0.035000,0.033000,0.000000,0.065000,0.013000,0.130000,-0.065000,-0.065000,-0.150000,-0.020000,-0.092000,0.000000,-0.031000
0.557,0.033000,-0.035000,0.000000,-0.033000,0.000000,-0.051000,-0.033000,-0.065000,-0.247000,-0.150000,0.033000,-0.092000,0.040000,-0.076000
0.618,0.033000,0.068000,-0.034000,0.067000,0.000000,0.065000,0.000000,0.000000,-0.215000,-0.118000,-0.020000,-0.092000,0.071000,-0.076000
0.725,0.033000,-0.035000,-0.067000,0.000000,-0.033000,0.000000,0.000000,-0.097000,-0.215000,-0.032000,-0.053000,0.000000,-0.031000,0.000000
0.792,0.164000,-0.035000,0.028000,0.000000,0.065000,0.013000,0.097000,-0.065000,-0.183000,-0.150000,-0.020000,0.031000,-0.031000,-0.107000
0.856,0.033000,0.000000,-0.005000,-0.033000,-0.033000,0.013000,0.000000,-0.097000,-0.130000,-0.118000,0.065000,-0.061000,0.071000,-0.063000
0.913,0.000000,0.068000,-0.005000,0.033000,-0.033000,0.065000,0.000000,-0.065000,-0.215000,-0.118000,-0.020000,-0.092000,-0.062000,-0.063000
0.954,0.033000,-0.035000,-0.034000,-0.033000,-0.033000,-0.051000,0.000000,0.000000,-0.183000,-0.065000,-0.020000,0.031000,-0.031000,0.031000
1.030,0.131000,-0.035000,0.028000,-0.033000,0.065000,0.000000,0.032000,-0.097000,-0.215000,-0.097000,-0.053000,-0.061000,0.000000,-0.107000
1.091,0.066000,-0.035000,-0.034000,0.000000,-0.033000,-0.019000,0.065000,-0.065000,-0.098000,-0.130000,0.065000,-0.061000,0.071000,-0.094000
1.150,0.033000,0.068000,-0.005000,0.033000,-0.033000,0.013000,0.000000,-0.065000,-0.183000,-0.150000,-0.053000,-0.061000,-0.031000,-0.076000
1.201,0.033000,-0.035000,-0.034000,0.000000,-0.033000,0.097000,0.000000,0.033000,-0.215000,0.000000,-0.020000,0.031000,-0.031000,-0.044000
1.289,0.066000,-0.035000,-0.034000,0.067000,-0.033000,-0.051000,0.000000,-0.065000,-0.215000,-0.118000,0.000000,-0.092000,-0.031000,-0.063000
1.375,0.033000,0.000000,-0.034000,0.033000,0.065000,-0.019000,0.097000,-0.065000,-0.098000,-0.097000,0.098000,-0.061000,0.000000,-0.076000
1.383,0.033000,0.034000,-0.034000,0.000000,-0.033000,-0.019000,0.032000,-0.097000,-0.215000,-0.097000,-0.020000,-0.061000,-0.031000,-0.076000
1.461,0.033000,-0.035000,-0.067000,0.067000,-0.066000,0.065000,-0.033000,0.033000,-0.183000,0.033000,-0.020000,-0.031000,-0.031000,-0.076000
1.533,0.098000,-0.035000,-0.034000,-0.033000,-0.033000,0.000000,0.032000,-0.097000,-0.163000,-0.118000,-0.020000,-0.031000,-0.031000,0.000000
1.579,0.000000,0.000000,0.028000,-0.033000,0.065000,0.013000,0.065000,-0.065000,-0.130000,-0.118000,0.012000,-0.092000,-0.031000,-0.031000
1.629,0.000000,0.000000,-0.034000,-0.033000,0.000000,-0.051000,0.032000,-0.065000,-0.215000,-0.150000,0.012000,-0.092000,0.040000,0.031000
1.680,0.033000,0.102000,-0.067000,0.067000,0.000000,0.065000,0.065000,0.033000,-0.215000,-0.097000,-0.020000,-0.092000,0.071000,-0.076000
1.680,0.033000,-0.035000,-0.034000,-0.033000,-0.066000,-0.019000,0.000000,-0.097000,-0.215000,-0.065000,-0.053000,0.000000,-0.031000,0.000000
1.765,0.131000,-0.035000,0.028000,0.000000,0.065000,-0.019000,0.065000,-0.097000,-0.183000,-0.065000,-0.053000,-0.061000,-0.031000,-0.107000
1.840,0.033000,-0.067000,0.000000,-0.033000,-0.033000,0.013000,0.000000,-0.097000,-0.163000,-0.150000,0.065000,-0.092000,0.071000,-0.063000
