Time(s),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14
0.001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001,0.120000,0.100000,0.067000,0.034000,0.131000,0.000000,0.085000,0.000000,0.033000,-0.097000,0.000000,0.061000,0.000000,0.000000
0.001,0.000000,0.000000,0.030000,0.000000,0.000000,0.032000,0.000000,0.000000,0.033000,-0.097000,0.064000,-0.031000,0.071000,0.000000
0.009,0.000000,0.134000,0.034000,0.100000,0.033000,0.083000,-0.032000,0.033000,0.000000,-0.097000,0.097000,-0.031000,0.031000,-0.062000
0.062,0.022000,0.033000,-0.004000,0.000000,0.033000,-0.033000,0.313000,0.033000,0.000000,-0.032000,0.032000,0.030000,0.000000,0.032000
0.162,0.120000,0.033000,0.064000,0.000000,0.098000,0.000000,0.000000,-0.032000,0.000000,0.033000,0.000000,0.061000,0.031000,-0.031000
0.168,0.022000,0.000000,-0.037000,0.034000,0.000000,0.000000,0.032000,0.000000,0.033000,-0.065000,0.064000,0.000000,0.102000,-0.075000
0.259,0.000000,0.067000,0.000000,0.000000,0.000000,0.000000,-0.032000,0.000000,0.085000,-0.097000,0.032000,0.000000,0.000000,-0.031000
0.293,0.000000,0.000000,0.000000,0.000000,0.000000,0.051000,-0.032000,0.033000,0.033000,-0.032000,0.032000,0.061000,0.000000,-0.031000
0.394,0.120000,0.000000,-0.037000,0.000000,0.033000,0.000000,-0.032000,0.065000,0.020000,-0.032000,0.032000,0.030000,0.000000,-0.062000
0.432,0.022000,0.067000,-0.004000,0.000000,0.066000,0.000000,0.032000,0.000000,0.053000,-0.065000,0.097000,-0.031000,0.031000,-0.062000
0.484,0.022000,0.033000,-0.034000,0.000000,0.000000,0.000000,0.065000,0.000000,0.000000,-0.065000,0.000000,0.000000,0.031000,-0.062000
0.528,0.055000,0.000000,0.000000,0.067000,0.033000,0.051000,0.000000,0.065000,0.033000,0.000000,0.000000,0.030000,0.000000,-0.062000
0.659,0.055000,0.000000,0.000000,0.000000,0.033000,0.148000,-0.032000,0.033000,0.053000,-0.032000,0.000000,0.030000,0.000000,-0.062000
0.741,0.022000,0.000000,0.064000,0.000000,0.098000,0.032000,0.065000,0.033000,0.150000,-0.097000,0.032000,0.000000,0.000000,0.032000
0.789,0.055000,0.033000,-0.004000,0.000000,0.066000,0.000000,0.000000,0.033000,0.033000,-0.097000,0.032000,-0.031000,0.031000,-0.031000
0.838,0.022000,0.067000,0.229000,0.067000,0.033000,0.083000,-0.032000,0.098000,0.033000,-0.065000,0.000000,0.000000,0.133000,-0.062000
0.916,0.022000,0.000000,-0.004000,0.067000,0.000000,0.051000,0.000000,0.000000,0.033000,-0.065000,0.000000,0.000000,0.031000,-0.031000
0.975,0.088000,0.000000,0.067000,0.034000,0.098000,0.000000,0.000000,0.000000,0.053000,-0.097000,0.000000,0.123000,0.000000,-0.031000
